Day,Classroom,Time,Course,Section
Monday,0,8:30 AM - 10:00 AM,,
Monday,0,10:00 AM - 11:30 AM,Data Structures,BCS-7A
Monday,0,11:30 AM - 1:00 PM,Linear Algebra,BDS-6A
Monday,0,1:00 PM - 2:30 PM,Statistics,BCS-2A
Monday,0,2:30 PM - 4:00 PM,Database Systems,BCS-2A
Monday,0,4:00 PM - 5:30 PM,Operating Systems,BDS-2A
Monday,0,5:30 PM - 7:00 PM,Computer Networks,BDS-5A
Monday,0,7:00 PM - 8:30 PM,Software Engineering,BSD-1A
Monday,1,8:30 AM - 10:00 AM,,
Monday,1,10:00 AM - 11:30 AM,Machine Learning,BDS-5A
Monday,1,11:30 AM - 1:00 PM,Computer Architecture,BDS-7A
Monday,1,1:00 PM - 2:30 PM,Web Development,BSD-1A
Monday,1,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-7A
Monday,1,4:00 PM - 5:30 PM,Data Structures,BCS-6B
Monday,1,5:30 PM - 7:00 PM,Linear Algebra,BDS-6A
Monday,1,7:00 PM - 8:30 PM,Statistics,BDS-8A
Monday,2,8:30 AM - 10:00 AM,Database Systems,BDS-8A
Monday,2,10:00 AM - 11:30 AM,Operating Systems,BDS-3A
Monday,2,11:30 AM - 1:00 PM,Computer Networks,BDS-6A
Monday,2,1:00 PM - 2:30 PM,Software Engineering,BDS-5A
Monday,2,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-2A
Monday,2,4:00 PM - 5:30 PM,Machine Learning,BCS-1C
Monday,2,5:30 PM - 7:00 PM,Computer Architecture,BCS-7A
Monday,2,7:00 PM - 8:30 PM,Web Development,BDS-2A
Monday,3,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-4A
Monday,3,10:00 AM - 11:30 AM,Data Structures,BCS-1B
Monday,3,11:30 AM - 1:00 PM,Linear Algebra,BDS-4A
Monday,3,1:00 PM - 2:30 PM,Statistics,BDS-8A
Monday,3,2:30 PM - 4:00 PM,Database Systems,BDS-4A
Monday,3,4:00 PM - 5:30 PM,Operating Systems,BDS-4A
Monday,3,5:30 PM - 7:00 PM,Computer Networks,BCS-7A
Monday,3,7:00 PM - 8:30 PM,Software Engineering,BDS-2A
Monday,4,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-1A
Monday,4,10:00 AM - 11:30 AM,Machine Learning,BCS-3A
Monday,4,11:30 AM - 1:00 PM,Computer Architecture,BDS-6A
Monday,4,1:00 PM - 2:30 PM,Web Development,BCS-1B
Monday,4,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-6A
Monday,4,4:00 PM - 5:30 PM,Data Structures,BCS-1B
Monday,4,5:30 PM - 7:00 PM,Linear Algebra,BCS-7A
Monday,4,7:00 PM - 8:30 PM,Statistics,BDS-7A
Monday,5,8:30 AM - 10:00 AM,Database Systems,BCS-6B
Monday,5,10:00 AM - 11:30 AM,Operating Systems,BDS-2A
Monday,5,11:30 AM - 1:00 PM,Computer Networks,BDS-5A
Monday,5,1:00 PM - 2:30 PM,Software Engineering,BDS-6A
Monday,5,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-8A
Monday,5,4:00 PM - 5:30 PM,Machine Learning,BCS-7A
Monday,5,5:30 PM - 7:00 PM,Computer Architecture,BCS-1C
Monday,5,7:00 PM - 8:30 PM,Web Development,BCS-6B
Monday,6,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-1C
Monday,6,10:00 AM - 11:30 AM,Data Structures,BCS-6B
Monday,6,11:30 AM - 1:00 PM,Linear Algebra,BDS-4A
Monday,6,1:00 PM - 2:30 PM,Statistics,BCS-6B
Monday,6,2:30 PM - 4:00 PM,Database Systems,BCS-1B
Monday,6,4:00 PM - 5:30 PM,Operating Systems,BCS-1B
Monday,6,5:30 PM - 7:00 PM,Computer Networks,BDS-5A
Monday,6,7:00 PM - 8:30 PM,Software Engineering,BDS-2A
Monday,7,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-1A
Monday,7,10:00 AM - 11:30 AM,Machine Learning,BCS-2A
Monday,7,11:30 AM - 1:00 PM,Computer Architecture,BDS-4A
Monday,7,1:00 PM - 2:30 PM,Web Development,BCS-1A
Monday,7,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-5A
Monday,7,4:00 PM - 5:30 PM,Data Structures,BSD-1A
Monday,7,5:30 PM - 7:00 PM,Linear Algebra,BCS-2A
Monday,7,7:00 PM - 8:30 PM,Statistics,BCS-7A
Monday,8,8:30 AM - 10:00 AM,Database Systems,BCS-2A
Monday,8,10:00 AM - 11:30 AM,Operating Systems,BCS-6B
Monday,8,11:30 AM - 1:00 PM,Computer Networks,BDS-8A
Monday,8,1:00 PM - 2:30 PM,Software Engineering,BDS-4A
Monday,8,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-3A
Monday,8,4:00 PM - 5:30 PM,Machine Learning,BCS-7A
Monday,8,5:30 PM - 7:00 PM,Computer Architecture,BCS-6B
Monday,8,7:00 PM - 8:30 PM,Web Development,BDS-7A
Monday,9,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-2A
Monday,9,10:00 AM - 11:30 AM,Data Structures,BDS-6A
Monday,9,11:30 AM - 1:00 PM,Linear Algebra,BCS-7A
Monday,9,1:00 PM - 2:30 PM,Statistics,BCS-3A
Monday,9,2:30 PM - 4:00 PM,Database Systems,BCS-2A
Monday,9,4:00 PM - 5:30 PM,Operating Systems,BDS-5A
Monday,9,5:30 PM - 7:00 PM,Computer Networks,BCS-1C
Monday,9,7:00 PM - 8:30 PM,Software Engineering,BCS-6B
Monday,10,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-3A
Monday,10,10:00 AM - 11:30 AM,Machine Learning,BDS-7A
Monday,10,11:30 AM - 1:00 PM,Computer Architecture,BDS-4A
Monday,10,1:00 PM - 2:30 PM,Web Development,BDS-3A
Monday,10,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-6B
Monday,10,4:00 PM - 5:30 PM,Data Structures,BDS-5A
Monday,10,5:30 PM - 7:00 PM,Linear Algebra,BCS-3A
Monday,10,7:00 PM - 8:30 PM,Statistics,BCS-3A
Monday,11,8:30 AM - 10:00 AM,Database Systems,BDS-5A
Monday,11,10:00 AM - 11:30 AM,Operating Systems,BSD-1A
Monday,11,11:30 AM - 1:00 PM,Computer Networks,BCS-1C
Monday,11,1:00 PM - 2:30 PM,Software Engineering,BCS-7A
Monday,11,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-7A
Monday,11,4:00 PM - 5:30 PM,Machine Learning,BCS-1C
Monday,11,5:30 PM - 7:00 PM,Computer Architecture,BSD-1A
Monday,11,7:00 PM - 8:30 PM,Web Development,BCS-1C
Monday,12,8:30 AM - 10:00 AM,Programming Fundamentals,BSD-1A
Monday,12,10:00 AM - 11:30 AM,Data Structures,BCS-2A
Monday,12,11:30 AM - 1:00 PM,Linear Algebra,BDS-8A
Monday,12,1:00 PM - 2:30 PM,Statistics,BDS-4A
Monday,12,2:30 PM - 4:00 PM,Database Systems,BDS-5A
Monday,12,4:00 PM - 5:30 PM,Operating Systems,BCS-1C
Monday,12,5:30 PM - 7:00 PM,Computer Networks,BCS-1A
Monday,12,7:00 PM - 8:30 PM,Software Engineering,BDS-2A
Monday,13,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-2A
Monday,13,10:00 AM - 11:30 AM,Machine Learning,BSD-1A
Monday,13,11:30 AM - 1:00 PM,Computer Architecture,BDS-8A
Monday,13,1:00 PM - 2:30 PM,Web Development,BDS-6A
Monday,13,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-1A
Monday,13,4:00 PM - 5:30 PM,Data Structures,BCS-1C
Monday,13,5:30 PM - 7:00 PM,Linear Algebra,BDS-8A
Monday,13,7:00 PM - 8:30 PM,Statistics,BCS-3A
Monday,14,8:30 AM - 10:00 AM,Database Systems,BCS-2A
Monday,14,10:00 AM - 11:30 AM,Operating Systems,BDS-2A
Monday,14,11:30 AM - 1:00 PM,Computer Networks,BDS-4A
Monday,14,1:00 PM - 2:30 PM,Software Engineering,BCS-6B
Monday,14,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-4A
Monday,14,4:00 PM - 5:30 PM,Machine Learning,BDS-2A
Monday,14,5:30 PM - 7:00 PM,Computer Architecture,BCS-2A
Monday,14,7:00 PM - 8:30 PM,Web Development,BDS-3A
Monday,15,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-6B
Monday,15,10:00 AM - 11:30 AM,Data Structures,BDS-3A
Monday,15,11:30 AM - 1:00 PM,Linear Algebra,BCS-7A
Monday,15,1:00 PM - 2:30 PM,Statistics,BCS-6B
Monday,15,2:30 PM - 4:00 PM,Database Systems,BCS-2A
Monday,15,4:00 PM - 5:30 PM,Operating Systems,BDS-2A
Monday,15,5:30 PM - 7:00 PM,Computer Networks,BDS-3A
